City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Wanning,CN,78.21,overcast clouds,18.8,110.4,Paradise Hotel
6,Rikitea,PF,74.17,clear sky,-23.12,-134.97,Pension Maro'i
7,Butaritari,KI,81.03,few clouds,3.07,172.79,Isles Sunset Lodge
10,Trairi,BR,77.92,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
12,Rosetta,EG,73.4,clear sky,31.4,30.42,Green Valley
13,Sola,VU,84.2,broken clouds,-13.88,167.55,Leumerus Bungalows
14,Mineiros,BR,82.17,moderate rain,-17.57,-52.55,Pilões Palace Hotel
16,Acopiara,BR,80.6,clear sky,-6.1,-39.45,Cantinho do Ceu Hotel
23,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
24,Jega,NG,81.43,clear sky,12.22,4.38,Jega Guest Inn
27,Ranong,TH,75.2,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
31,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
39,Manokwari,ID,84.67,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
41,Padang,ID,78.51,overcast clouds,-0.95,100.35,Mercure Padang
42,Hithadhoo,MV,81.86,moderate rain,-0.6,73.08,Scoop Guest House
43,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
46,Bacungan,PH,77.0,broken clouds,9.91,118.7,Sumayang Property
47,Betong,TH,73.54,overcast clouds,5.77,101.07,New Cathay Hotel
49,Gunnedah,AU,73.4,clear sky,-30.98,150.25,Gunnedah Motor Inn
50,Mahibadhoo,MV,82.38,light rain,3.78,72.97,Omadhoo Inn
52,Hervey Bay,AU,78.01,scattered clouds,-25.3,152.85,Shelly Bay Resort
57,Uchiza,PE,77.77,few clouds,-8.46,-76.46,Hotel El Rancho
61,San Alberto,CO,78.39,moderate rain,7.76,-73.39,Hotel San Alberto Plaza
62,Arraial Do Cabo,BR,70.5,broken clouds,-22.97,-42.03,Pousada Porto Praia
63,Venkatagiri,IN,77.0,light rain,13.97,79.58,Vamsi Guest House
65,Lighthouse Point,US,84.99,broken clouds,26.28,-80.09,Embassy Suites by Hilton Deerfield Beach Resort & Spa
66,Pozo Colorado,PY,81.27,clear sky,-23.49,-58.8,Hospedaje la Amistad
69,Tres Picos,MX,80.35,light rain,15.87,-93.53,HOTEL TRES PICOS
70,Hamilton,US,70.0,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
72,Manzanillo,CU,80.87,overcast clouds,20.34,-77.12,Adrian & Tonia
79,Jardim,BR,82.98,scattered clouds,-21.48,-56.14,Hotel Estância
80,Salalah,OM,77.0,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
82,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
84,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
85,Antalaha,MG,73.6,broken clouds,-14.9,50.28,Hotel Vitasoa
86,Flinders,AU,72.0,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
87,Laguna,US,84.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
89,Sao Filipe,CV,79.34,clear sky,14.9,-24.5,Tortuga B&B
93,Airai,TL,70.9,clear sky,-8.93,125.41,Juvinal Martin
95,Bagotville,AU,78.01,clear sky,-28.98,153.42,Broadwater Sunrise Caravan Park
96,Naze,JP,78.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
99,Alofi,NU,78.8,shower rain,-19.06,-169.92,Taloa Heights
101,Lompoc,US,75.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
103,Kotido,UG,70.29,clear sky,2.98,34.13,Loware Joseph Mukasa's Residence
108,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
109,Praia,CV,77.0,few clouds,14.92,-23.51,LT Aparthotel
111,Pauini,BR,82.54,scattered clouds,-7.71,-66.98,Casa do Kiwliks
117,Uvira,CD,73.89,few clouds,-3.41,29.15,Auberge Eden City
118,Bengkulu,ID,75.65,light rain,-3.8,102.27,Grage Hotel Bengkulu
119,Umm Lajj,SA,84.45,clear sky,25.02,37.27,Moon light Furnished Units
126,Moranbah,AU,79.95,scattered clouds,-22.0,148.05,Direct Hotels - Monterey Moranbah
127,Victoria,HK,80.01,broken clouds,22.29,114.16,Mini Hotel Central
131,Kiunga,PG,83.1,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
133,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
134,Tura,IN,72.97,clear sky,25.52,90.22,Hotel RIKMAN Continental
136,Arona,ES,75.0,few clouds,28.1,-16.68,Paradise Court
137,Saint-Philippe,RE,71.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
138,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
140,Akyab,MM,79.74,few clouds,20.15,92.9,Hotel Memory
146,Nortelandia,BR,77.76,moderate rain,-14.45,-56.8,Hotel Karysmã
147,Kavieng,PG,84.7,few clouds,-2.57,150.8,Nusa Island Retreat
149,Iralaya,HN,84.2,clear sky,15.0,-83.23,Iglesia morava renovada
151,Dingle,PH,78.73,overcast clouds,11.0,122.67,Camp Pasica
152,Saint-Pierre,RE,70.0,clear sky,-21.34,55.48,Lindsey Hôtel
154,Atuona,PF,78.48,clear sky,-9.8,-139.03,Villa Enata
156,Monrovia,LR,78.44,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
158,Jiwani,PK,78.64,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
162,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
164,Muscat,OM,80.6,clear sky,23.61,58.59,Mutrah Hotel
