City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Big Spring,US,32.25,-101.48,93.2,10,1,13.87,clear sky
1,Esperance,AU,-33.87,121.9,55.4,100,0,4.7,clear sky
2,Wanning,CN,18.8,110.4,78.21,85,100,16.31,overcast clouds
3,Punta Arenas,CL,-53.15,-70.92,48.2,57,20,10.29,few clouds
4,Bethel,US,41.37,-73.41,59.0,47,90,4.7,overcast clouds
5,Mount Gambier,AU,-37.83,140.77,60.8,63,65,13.87,broken clouds
6,Rikitea,PF,-23.12,-134.97,74.17,77,8,10.8,clear sky
7,Butaritari,KI,3.07,172.79,81.03,74,23,12.73,few clouds
8,Jvari,GE,42.72,42.05,62.1,41,2,5.01,clear sky
9,Polyarnyy,RU,69.2,33.45,41.0,100,75,2.24,broken clouds
10,Trairi,BR,-3.28,-39.27,77.92,81,0,9.46,clear sky
11,Anyksciai,LT,55.53,25.1,49.87,95,100,6.93,overcast clouds
12,Rosetta,EG,31.4,30.42,73.4,60,0,4.7,clear sky
13,Sola,VU,-13.88,167.55,84.2,83,75,9.17,broken clouds
14,Mineiros,BR,-17.57,-52.55,82.17,40,74,8.59,moderate rain
15,Codrington,AU,-38.27,141.97,62.35,73,18,16.22,few clouds
16,Acopiara,BR,-6.1,-39.45,80.6,47,0,9.51,clear sky
17,Constitucion,CL,-35.33,-72.42,57.0,70,16,9.33,few clouds
18,Jamestown,US,42.1,-79.24,62.6,59,90,8.05,overcast clouds
19,Babu,CN,24.42,111.52,69.33,77,4,4.45,clear sky
20,Pangody,RU,65.85,74.49,35.89,98,100,7.96,light rain
21,La Ronge,CA,55.1,-105.28,37.4,85,90,17.22,overcast clouds
22,Sao Joao Da Barra,BR,-21.64,-41.05,69.93,63,99,5.55,overcast clouds
23,Porto Novo,BJ,6.5,2.6,78.8,94,40,6.93,scattered clouds
24,Jega,NG,12.22,4.38,81.43,63,0,7.65,clear sky
25,Busselton,AU,-33.65,115.33,62.01,68,0,6.82,clear sky
26,Qaanaaq,GL,77.48,-69.36,32.18,85,92,9.06,overcast clouds
27,Ranong,TH,9.97,98.63,75.2,100,75,2.24,broken clouds
28,Chokurdakh,RU,70.63,147.92,20.73,94,92,6.93,overcast clouds
29,Mataura,NZ,-46.19,168.86,53.01,80,100,4.0,overcast clouds
30,Cape Town,ZA,-33.93,18.42,55.0,81,57,2.24,broken clouds
31,Puerto Ayora,EC,-0.74,-90.35,70.0,88,93,3.0,overcast clouds
32,Cidreira,BR,-30.18,-50.21,64.58,79,0,20.58,clear sky
33,Otradnyy,RU,53.38,51.35,43.38,56,85,6.22,overcast clouds
34,Forestville,US,38.85,-76.88,66.99,100,90,4.7,moderate rain
35,Lebu,CL,-37.62,-73.65,51.84,65,0,19.95,clear sky
36,Ushuaia,AR,-54.8,-68.3,46.4,49,20,19.46,few clouds
37,Albany,US,42.6,-73.97,48.99,49,100,3.22,overcast clouds
38,Torbay,CA,47.67,-52.73,52.0,100,90,23.04,shower rain
39,Manokwari,ID,-0.87,134.08,84.67,64,90,2.91,overcast clouds
40,Kaeo,NZ,-35.1,173.78,64.99,84,95,11.99,overcast clouds
41,Padang,ID,-0.95,100.35,78.51,75,100,3.6,overcast clouds
42,Hithadhoo,MV,-0.6,73.08,81.86,76,100,12.86,moderate rain
43,Bambous Virieux,MU,-20.34,57.76,73.4,83,40,5.82,scattered clouds
44,Cabo San Lucas,MX,22.89,-109.91,86.0,70,40,11.41,scattered clouds
45,Port Alfred,ZA,-33.59,26.89,54.28,67,16,8.39,few clouds
46,Bacungan,PH,9.91,118.7,77.0,88,75,6.93,broken clouds
47,Betong,TH,5.77,101.07,73.54,91,100,1.43,overcast clouds
48,Castro,BR,-24.79,-50.01,55.4,91,0,7.31,clear sky
49,Gunnedah,AU,-30.98,150.25,73.4,43,0,4.7,clear sky
50,Mahibadhoo,MV,3.78,72.97,82.38,78,99,17.54,light rain
51,East London,ZA,-33.02,27.91,55.99,61,54,3.58,broken clouds
52,Hervey Bay,AU,-25.3,152.85,78.01,60,40,12.75,scattered clouds
53,Saldanha,ZA,-33.01,17.94,48.2,66,28,4.7,scattered clouds
54,Kapaa,US,22.08,-159.32,87.8,62,40,12.75,scattered clouds
55,Taltal,CL,-25.4,-70.48,56.35,79,24,2.44,few clouds
56,Tuktoyaktuk,CA,69.45,-133.04,26.6,92,90,20.8,light snow
57,Uchiza,PE,-8.46,-76.46,77.77,58,13,3.65,few clouds
58,Namibe,AO,-15.2,12.15,60.91,85,37,3.27,scattered clouds
59,Puerto Escondido,MX,15.85,-97.07,86.0,62,75,8.05,broken clouds
60,Williams Lake,CA,52.14,-122.14,46.4,50,75,6.93,broken clouds
61,San Alberto,CO,7.76,-73.39,78.39,75,91,8.95,moderate rain
62,Arraial Do Cabo,BR,-22.97,-42.03,70.5,63,65,10.89,broken clouds
63,Venkatagiri,IN,13.97,79.58,77.0,79,99,2.84,light rain
64,Ponta Do Sol,PT,32.67,-17.1,69.8,68,20,16.11,few clouds
65,Lighthouse Point,US,26.28,-80.09,84.99,83,75,3.36,broken clouds
66,Pozo Colorado,PY,-23.49,-58.8,81.27,30,0,6.13,clear sky
67,Yumen,CN,40.28,97.2,32.31,76,3,5.35,clear sky
68,Talnakh,RU,69.49,88.4,24.8,92,40,22.37,light snow
69,Tres Picos,MX,15.87,-93.53,80.35,78,89,1.28,light rain
70,Hamilton,US,39.18,-84.53,70.0,77,90,5.82,overcast clouds
71,Yellowknife,CA,62.46,-114.35,35.6,80,90,11.41,overcast clouds
72,Manzanillo,CU,20.34,-77.12,80.87,81,98,3.27,overcast clouds
73,Saint George,US,37.1,-113.58,86.0,15,1,13.87,clear sky
74,Bluff,NZ,-46.6,168.33,53.01,80,82,4.0,broken clouds
75,Saskylakh,RU,71.92,114.08,16.5,95,86,7.74,overcast clouds
76,Geraldton,AU,-28.77,114.6,60.8,82,0,10.29,clear sky
77,Kaitangata,NZ,-46.28,169.85,53.01,69,93,11.99,overcast clouds
78,New Norfolk,AU,-42.78,147.06,59.0,64,72,3.0,broken clouds
79,Jardim,BR,-21.48,-56.14,82.98,34,38,6.8,scattered clouds
80,Salalah,OM,17.02,54.09,77.0,78,15,5.82,few clouds
81,Upernavik,GL,72.79,-56.15,35.42,85,100,9.22,overcast clouds
82,Vaini,TO,-21.2,-175.2,77.0,78,20,13.87,few clouds
83,Kodiak,US,57.79,-152.41,42.8,75,90,5.82,light rain
84,Mahebourg,MU,-20.41,57.7,73.4,83,40,5.82,scattered clouds
85,Antalaha,MG,-14.9,50.28,73.6,90,53,5.19,broken clouds
86,Flinders,AU,-34.58,150.86,72.0,68,57,3.0,broken clouds
87,Laguna,US,38.42,-121.42,84.0,13,1,12.75,clear sky
88,Hobart,AU,-42.88,147.33,59.0,54,75,8.05,broken clouds
89,Sao Filipe,CV,14.9,-24.5,79.34,78,7,10.33,clear sky
90,Hami,CN,42.8,93.45,40.44,54,0,9.62,clear sky
91,Port Elizabeth,ZA,-33.92,25.57,50.0,81,5,3.36,clear sky
92,Arman,RU,59.7,150.17,40.66,65,97,5.48,overcast clouds
93,Airai,TL,-8.93,125.41,70.9,56,1,5.97,clear sky
94,Orotukan,RU,62.27,151.7,34.57,69,84,7.25,broken clouds
95,Bagotville,AU,-28.98,153.42,78.01,60,1,4.7,clear sky
96,Naze,JP,28.37,129.48,78.8,69,75,5.82,broken clouds
97,Cherskiy,RU,68.75,161.3,23.22,91,26,8.93,scattered clouds
98,Tautira,PF,-17.73,-149.15,86.0,62,20,23.04,few clouds
99,Alofi,NU,-19.06,-169.92,78.8,78,75,25.28,shower rain
100,Rabo De Peixe,PT,37.8,-25.58,64.4,82,75,11.41,broken clouds
101,Lompoc,US,34.64,-120.46,75.99,60,1,19.46,clear sky
102,Xichang,CN,27.9,102.26,61.36,77,96,1.05,overcast clouds
103,Kotido,UG,2.98,34.13,70.29,69,0,3.36,clear sky
104,Narsaq,GL,60.92,-46.05,46.4,81,100,24.16,light rain
105,Vardo,NO,70.37,31.11,42.51,86,100,12.91,overcast clouds
106,Belaya Gora,RU,68.53,146.42,26.42,89,94,3.15,overcast clouds
107,Camacha,PT,33.08,-16.33,69.8,68,40,11.41,scattered clouds
108,Bathsheba,BB,13.22,-59.52,82.4,78,40,10.29,shower rain
109,Praia,CV,14.92,-23.51,77.0,83,20,11.41,few clouds
110,Tromso,NO,69.65,18.96,42.8,93,75,2.24,broken clouds
111,Pauini,BR,-7.71,-66.98,82.54,48,27,1.61,scattered clouds
112,Fortuna,US,40.6,-124.16,66.2,55,1,12.75,clear sky
113,Klaksvik,FO,62.23,-6.59,44.6,100,100,10.29,drizzle
114,Kahului,US,20.89,-156.47,89.6,52,40,23.04,scattered clouds
115,Provideniya,RU,64.38,-173.3,39.2,64,75,20.13,broken clouds
116,Portland,US,45.52,-122.68,57.99,87,90,13.87,light rain
117,Uvira,CD,-3.41,29.15,73.89,59,24,4.52,few clouds
118,Bengkulu,ID,-3.8,102.27,75.65,85,100,3.4,light rain
119,Umm Lajj,SA,25.02,37.27,84.45,41,0,7.76,clear sky
120,Hilo,US,19.73,-155.09,87.8,52,1,10.29,clear sky
121,Ust-Kuyga,RU,70.02,135.6,14.76,91,50,2.95,scattered clouds
122,Chuy,UY,-33.7,-53.46,59.27,82,58,8.43,broken clouds
123,Hermanus,ZA,-34.42,19.23,53.01,76,64,1.99,broken clouds
124,Hay River,CA,60.82,-115.8,39.2,74,75,11.41,broken clouds
125,Bonavista,CA,48.65,-53.11,48.0,87,98,8.99,overcast clouds
126,Moranbah,AU,-22.0,148.05,79.95,45,36,17.4,scattered clouds
127,Victoria,HK,22.29,114.16,80.01,75,73,1.99,broken clouds
128,San Patricio,US,28.02,-97.52,86.0,70,75,18.34,broken clouds
129,Nanortalik,GL,60.14,-45.24,40.96,81,100,23.76,light rain
130,Luderitz,NA,-26.65,15.16,62.58,37,3,12.48,clear sky
131,Kiunga,PG,-6.12,141.29,83.1,72,98,3.78,overcast clouds
132,Krasnyy Yar,RU,46.53,48.35,46.4,65,0,8.95,clear sky
133,Avarua,CK,-21.21,-159.78,77.0,78,37,5.82,light rain
134,Tura,IN,25.52,90.22,72.97,95,0,2.42,clear sky
135,Riberalta,BO,-10.98,-66.1,89.89,34,95,2.44,overcast clouds
136,Arona,ES,28.1,-16.68,75.0,78,20,20.8,few clouds
137,Saint-Philippe,RE,-21.36,55.77,71.6,73,35,2.24,scattered clouds
138,Souillac,MU,-20.52,57.52,73.4,83,40,5.82,scattered clouds
139,Lahaina,US,20.88,-156.68,89.6,78,90,16.11,overcast clouds
140,Akyab,MM,20.15,92.9,79.74,85,12,5.03,few clouds
141,Norman Wells,CA,65.28,-126.83,28.4,92,90,14.99,light snow
142,Bredasdorp,ZA,-34.53,20.04,46.4,87,47,4.7,scattered clouds
143,Chapais,CA,49.78,-74.85,30.2,86,1,1.41,clear sky
144,Fairbanks,US,64.84,-147.72,37.4,47,90,6.93,overcast clouds
145,Nikolskoye,RU,59.7,30.79,53.6,87,90,2.42,light intensity drizzle
146,Nortelandia,BR,-14.45,-56.8,77.76,73,41,3.09,moderate rain
147,Kavieng,PG,-2.57,150.8,84.7,69,23,8.7,few clouds
148,Khatanga,RU,71.97,102.5,23.02,98,100,12.01,overcast clouds
149,Iralaya,HN,15.0,-83.23,84.2,79,5,9.44,clear sky
150,Artyom,AZ,40.47,50.33,57.2,71,8,6.93,clear sky
151,Dingle,PH,11.0,122.67,78.73,85,100,1.41,overcast clouds
152,Saint-Pierre,RE,-21.34,55.48,70.0,77,0,3.36,clear sky
153,Pevek,RU,69.7,170.31,28.13,95,62,3.83,broken clouds
154,Atuona,PF,-9.8,-139.03,78.48,71,5,19.35,clear sky
155,Lagoa,PT,39.05,-27.98,67.78,71,43,17.94,scattered clouds
156,Monrovia,LR,6.3,-10.8,78.44,84,99,7.2,light rain
157,Iqaluit,CA,63.75,-68.51,33.8,93,75,20.8,broken clouds
158,Jiwani,PK,25.05,61.74,78.64,28,0,19.55,clear sky
159,Maniitsoq,GL,65.42,-52.9,36.95,87,100,14.12,overcast clouds
160,Porto Santo,PT,33.07,-16.34,69.8,68,40,11.41,scattered clouds
161,Severo-Kurilsk,RU,50.68,156.12,48.25,67,0,2.75,clear sky
162,Touros,BR,-5.2,-35.46,75.2,83,20,4.7,few clouds
163,Nerchinskiy Zavod,RU,51.31,119.61,27.48,80,0,11.48,clear sky
164,Muscat,OM,23.61,58.59,80.6,61,0,5.82,clear sky
165,Thinadhoo,MV,0.53,72.93,82.35,76,67,12.57,broken clouds
166,Pisco,PE,-13.7,-76.22,64.4,77,2,18.34,clear sky
167,Broken Hill,AU,-31.95,141.43,66.2,37,44,8.05,scattered clouds
168,Barrow,US,71.29,-156.79,26.6,63,90,9.17,overcast clouds
169,Bayshore Gardens,US,27.43,-82.59,82.4,83,40,8.05,scattered clouds
170,Tessalit,ML,20.2,1.01,82.02,28,77,4.0,broken clouds
171,Barranca,PE,-10.75,-77.77,61.29,89,14,6.31,few clouds
172,Poso,ID,-1.4,120.75,82.87,53,82,5.95,broken clouds
173,Itupiranga,BR,-5.13,-49.33,74.98,77,88,1.63,overcast clouds
174,Ribeira Grande,PT,38.52,-28.7,67.51,70,14,11.97,few clouds
175,Hasaki,JP,35.73,140.83,70.0,94,75,13.87,broken clouds
176,Bressanone,IT,46.72,11.66,45.0,95,100,4.0,overcast clouds
177,Kutum,SD,14.2,24.67,78.21,42,50,3.0,scattered clouds
178,Verkhnevilyuysk,RU,63.45,120.32,20.97,96,44,3.38,scattered clouds
179,Carnarvon,AU,-24.87,113.63,66.2,88,2,13.87,clear sky
180,Hearst,CA,49.68,-83.67,38.41,76,44,7.99,scattered clouds
181,Qorveh,IR,35.17,47.8,40.6,65,0,3.58,clear sky
182,Koshurnikovo,RU,54.17,93.3,22.23,98,97,2.82,overcast clouds
183,Ancud,CL,-41.87,-73.82,50.0,76,20,4.7,few clouds
184,Emba,KZ,48.83,58.14,43.81,52,0,6.13,clear sky
185,Kampong Thum,KH,12.71,104.89,73.0,95,100,5.61,moderate rain
186,Mar Del Plata,AR,-38.0,-57.56,52.0,93,90,12.75,overcast clouds
187,Wattegama,LK,6.8,81.48,76.26,75,96,7.56,overcast clouds
188,Copiapo,CL,-27.37,-70.33,55.4,76,0,8.05,clear sky
189,Lemay,US,38.53,-90.28,78.01,68,0,7.34,clear sky
190,Show Low,US,34.25,-110.03,75.2,14,1,11.41,clear sky
191,Inirida,CO,3.87,-67.92,79.27,71,54,0.96,broken clouds
192,Kruisfontein,ZA,-34.0,24.73,46.99,92,0,1.01,clear sky
193,Jhansi,IN,25.43,78.58,74.84,39,36,3.4,scattered clouds
194,Grand Gaube,MU,-20.01,57.66,73.0,82,6,3.0,light rain
195,Chebsara,RU,59.2,38.84,41.0,100,100,2.24,overcast clouds
196,Tasiilaq,GL,65.61,-37.64,35.6,94,100,2.24,overcast clouds
197,Broome,US,42.25,-75.83,57.99,58,90,5.82,overcast clouds
198,Ratnagiri,IN,16.98,73.3,75.45,91,100,2.28,overcast clouds
199,Fukue,JP,32.69,128.84,68.0,72,20,10.29,few clouds
200,Yulara,AU,-25.24,130.99,75.2,16,35,16.11,scattered clouds
201,Sitka,US,57.05,-135.33,48.2,81,75,6.93,broken clouds
202,Rock Springs,US,41.59,-109.2,42.8,41,1,26.4,clear sky
203,Atlantis,ZA,-33.57,18.48,54.0,81,51,2.24,broken clouds
204,Neuquen,AR,-38.95,-68.06,66.2,32,0,3.36,clear sky
205,Katsuura,JP,35.13,140.3,71.01,83,75,8.05,broken clouds
206,Shebalino,RU,51.29,85.68,32.29,94,100,5.3,overcast clouds
207,Karasjok,NO,69.47,25.51,37.4,93,69,2.24,broken clouds
208,Sayyan,YE,15.17,44.32,54.5,41,0,6.2,clear sky
209,Eyl,SO,7.98,49.82,78.57,84,23,5.88,few clouds
210,Tenno,JP,39.9,139.97,68.0,77,75,6.93,broken clouds
211,Jalu,LY,29.03,21.55,70.43,45,88,5.66,overcast clouds
212,Kushmurun,KZ,52.45,64.63,48.2,62,86,7.58,overcast clouds
213,Faanui,PF,-16.48,-151.75,79.09,80,8,14.99,clear sky
214,Cap Malheureux,MU,-19.98,57.61,73.0,82,0,3.0,clear sky
215,Veraval,IN,20.9,70.37,80.82,80,100,14.2,overcast clouds
216,Brzeg Dolny,PL,51.27,16.71,46.99,93,75,3.36,light rain
217,Dudinka,RU,69.41,86.18,24.8,92,40,22.37,light snow
218,Hastings,GB,50.86,0.57,46.0,93,5,6.93,clear sky
219,Piacabucu,BR,-10.41,-36.43,76.71,83,44,16.49,scattered clouds
220,Zwedru,LR,6.07,-8.13,71.6,98,100,1.68,overcast clouds
221,Beatrice,US,40.27,-96.75,84.2,45,1,13.87,clear sky
222,Busayra,JO,30.74,35.61,58.08,86,0,1.01,clear sky
223,Hobyo,SO,5.35,48.53,78.44,85,15,14.23,few clouds
224,Vila,PT,42.03,-8.16,46.99,80,2,5.99,clear sky
225,Grand-Lahou,CI,5.14,-5.02,75.94,90,57,6.46,broken clouds
226,Westport,US,41.14,-73.36,62.6,67,90,11.41,overcast clouds
227,Alyangula,AU,-13.85,136.42,86.0,58,7,4.7,clear sky
228,Vila Franca Do Campo,PT,37.72,-25.43,64.4,82,75,11.41,broken clouds
229,Utica,US,43.1,-75.23,51.8,53,1,9.17,clear sky
230,Baijiantan,CN,45.63,85.18,48.6,49,99,3.96,overcast clouds
231,Bestobe,KZ,52.5,73.1,44.98,87,73,8.75,broken clouds
232,Mayumba,GA,-3.43,10.66,76.62,85,97,10.25,light rain
233,Clyde River,CA,70.47,-68.59,32.0,97,90,6.93,overcast clouds
234,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
235,Margate,GB,51.38,1.39,50.0,81,19,3.0,few clouds
236,Tiksi,RU,71.69,128.87,11.05,94,36,8.21,scattered clouds
237,Ussel,FR,45.55,2.32,37.78,96,16,4.43,few clouds
