City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Makakilo City,US,2020-10-11 18:55:44,21.35,-158.09,80.6,69,20,4.7
1,Thompson,CA,2020-10-11 18:51:22,55.74,-97.86,42.8,87,75,4.7
2,Bredasdorp,ZA,2020-10-11 18:53:53,-34.53,20.04,57.2,67,90,12.75
3,Yenagoa,NG,2020-10-11 18:55:44,4.92,6.26,76.06,91,82,3.06
4,Punta Arenas,CL,2020-10-11 18:55:30,-53.15,-70.92,55.4,47,0,42.5
5,Yellowknife,CA,2020-10-11 18:55:44,62.46,-114.35,34.0,84,90,11.41
6,Port Alfred,ZA,2020-10-11 18:55:45,-33.59,26.89,55.92,62,1,6.24
7,Santa Cruz,BO,2020-10-11 18:55:45,-17.8,-63.17,100.4,33,40,17.22
8,Gat,IL,2020-10-11 18:55:45,31.61,34.76,78.01,100,1,5.59
9,Upernavik,GL,2020-10-11 18:55:45,72.79,-56.15,37.56,75,100,4.83
10,Lander,US,2020-10-11 18:55:45,42.83,-108.73,53.6,18,1,25.28
11,Zhigalovo,RU,2020-10-11 18:55:46,54.81,105.16,25.03,94,98,6.38
12,Tiksi,RU,2020-10-11 18:55:46,71.69,128.87,11.25,94,39,8.21
13,Los Llanos De Aridane,ES,2020-10-11 18:55:46,28.66,-17.92,75.2,78,75,14.99
14,Chokurdakh,RU,2020-10-11 18:55:46,70.63,147.92,17.73,94,91,4.47
15,Vaini,TO,2020-10-11 18:55:47,-21.2,-175.2,71.6,83,20,11.41
16,Nantucket,US,2020-10-11 18:55:47,41.28,-70.1,60.8,59,1,20.8
17,Hermanus,ZA,2020-10-11 18:55:47,-34.42,19.23,55.0,76,0,3.0
18,Bundaberg,AU,2020-10-11 18:55:47,-24.85,152.35,64.99,88,95,6.93
19,Ushuaia,AR,2020-10-11 18:55:48,-54.8,-68.3,51.8,53,40,29.97
20,Rikitea,PF,2020-10-11 18:55:48,-23.12,-134.97,73.65,78,0,12.62
21,Zhigansk,RU,2020-10-11 18:55:48,66.77,123.37,16.45,96,63,6.78
